PASS:  257470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  258030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  258070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  258110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  258150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  258190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  258230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  258270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
